


Vintage,Name,Producer,Appellation,Varietal,Size,Quantity,Price,Stored,Notes
2009,Lo Tengo Malbec,Bodega Norton,Mendoza,Malbec,750,,,, Brad & Erica Sklar: 4 stars  Tom Pfisterer's Baseball Fundraiser greens n chips Nick LaBella dark intense black berry supple persistent rich 
2009,Lo Tengo Malbec,Bodega Norton,Mendoza,Malbec,750,,,, Brad & Erica Sklar:  Trivia night 
2009,Lo Tengo Malbec,Bodega Norton,Mendoza,Malbec,750,,,, Brad & Erica Sklar:  trivia night greens 
2015,Almaviva (Proprietary Blend),Viña Almaviva,Maipo Valle,Cabernet Sauvignon-Cabernet Franc-Carmenère,750,1,108,,
2006,Don Melchor Cabernet Sauvignon Private Reserve,Viña Concha y Toro,Maipo Valle,Cabernet Sauvignon,750,2,49.95,,
2008,Marqués de Casa Concha Cabernet Sauvignon,Viña Concha y Toro,Maipo Valle,Cabernet Sauvignon,750,,,, Brad & Erica Sklar:  Melissa 40th colby/scott/karen 
2019,Laberinto-Sauvignon Blanc Maule Valley,Viña Laberinto,Maule,Sauvignon Blanc,750,1,18.99,,
2005,Gran Elias Mora Toro,Bodega Elias Mora,Toro,Tinta de Toro,750,1,36.99,,
2005,Gramona Gran Reserva Brut Nature III Lustros,Celler Gramona,Penedès,Xarel-Lo-Macabeo-Parellada,750,,,, Brad & Erica Sklar:  NYE Labella 
2015,Contino Rioja Gran Reserva,Contino,Rioja,Tempranillo-Mazuelo-Garnacha-Graciano,750,1,49,,97 JS 
2007,Pierre Sparr Pinot Blanc Réserve,Pierre Sparr,Alsace,Pinot Blanc,750,,,, Brad & Erica Sklar: 4.5 stars  Thanksgiving Day Turkey Matt,Ben,Uncle Glenn,Gomama,linda,Geoff pale fragrant crisp light-bodied pleasant 
2015,Chateau Bardoulet Saint-Emillion  Grand Cru,Chateau Bardoulet,Bordeaux,Merlot-Cabernet Franc-Cabernet Sauvignon,750,1,19.99,,
2005,Château Tour de Mirambeau Cuvée Passion Blanc,Vignobles Despagne,Bordeaux,Sauvignon Blanc-Sémillon,750,,,, Brad & Erica Sklar:  nice wine pleasant good buy 
2010,Le Petit Haut-Lafitte,Château Smith Haut-Lafitte,Pessac-Léognan,,750,2,31.01,,
2005,Château Clos de la Chesnaie,Château Clos de la Chesnaie,Lalande de Pomerol,Merlot-Cabernet Franc,750,1,18.99,,
2009,Château La Pervenche,Château La Pervenche,Lalande de Pomerol,Merlot-Cabernet Sauvignon,750,1,14.99,,
2005,Château Vieux Montagne,Château Vieux Montagne,Montagne Saint Émilion,Merlot-Cabernet Sauvignon-Cabernet Franc,750,1,16.99,,
2014,Château Clos René Pomerol,Château Clos René,Pomerol,Merlot-Cabernet Franc-Malbec,750,3,29.99,,
2019,Château Lafleur du Roy Pomerol,Château Lafleur,Pomerol,Merlot-Cabernet Franc,750,1,29,,
2019,J. Lebègue Saint-Emilion,Antoine Moueix & Fils,Saint Émilion,Merlot-Cabernet Franc,750,2,19.99,,
2002,Château Faugères,Château Faugères,Saint Émilion Grand Cru,Merlot-Cabernet Franc-Cabernet Sauvignon,750,1,35.99,,
2010,Château Haut-Gravet,Château Haut-Gravet,Saint Émilion Grand Cru,Merlot-Cabernet Franc,750,2,22.96,,
2002,Château La Confession,Vignobles Joseph Janoueix,Saint Émilion Grand Cru,Merlot-Cabernet Franc,750,1,29.99,,
2005,Château La Gaffelière,Château La Gaffelière,Saint Émilion Grand Cru,Merlot-Cabernet Franc-Cabernet Sauvignon,750,1,49.99,,92-95 RP  « 2005 Bordeaux primeur; Ce vin de garde est probablement le meilleur La Gaffelière que j'aie jamais goûté. Sa robe est d'un pourpre opaque,
2006,Château Laforge,Château Laforge,Saint Émilion Grand Cru,Merlot-Cabernet Franc,750,2,30,,93 pts 
2005,Château Laroque,Château Laroque,Saint Émilion Grand Cru,Merlot-Cabernet Franc-Cabernet Sauvignon,750,1,29.99,,
2006,Château Sansonnet,Château Sansonnet,Saint Émilion Grand Cru,Merlot-Cabernet Franc-Cabernet Sauvignon,750,2,36.99,,
2009,Château Cantemerle,Château Cantemerle,Haut-Médoc,Merlot-Cabernet Sauvignon-Cabernet Franc-Petit Verdot,750,2,35.99,,
2016,Château Lanessan Haut Medoc,Château Lanessan,Haut-Médoc,Cabernet Sauvignon-Merlot-Cabernet Franc,750,1,19.9,,
2010,Château Cantenac-Brown,Château Cantenac-Brown,Margaux,Cabernet Sauvignon-Merlot-Cabernet Franc,750,2,62.59,,92 Pts 
2016,Château d'Arsac Margaux,Château d'Arsac,Margaux,Cabernet Sauvignon-Merlot-Cabernet Franc,750,3,25,,
2006,Château Dauzac,Château Dauzac,Margaux,Cabernet Sauvignon-Merlot,750,2,24.99,,
2014,Château Malescot Saint-Exupéry,Château Malescot Saint-Exupéry,Margaux,Cabernet Sauvignon-Merlot-Cabernet Franc-Petit Verdot,750,2,42.95,,96 Pts JS 
2011,Château Tayac Margaux,Château Tayac Margaux,Margaux,Cabernet Sauvignon-Merlot-Petit Verdot,750,2,32.99,,
1994,Pavillon Rouge du Château Margaux,Château Margaux,Margaux,Cabernet Sauvignon-Merlot-Cabernet Franc,750,1,263,,Lenny G 
2020,Château Pontet Canet,Château Pontet Canet,Pauillac,Cabernet Sauvignon-Merlot-Cabernet Franc,750,1,146,,
2018,Château Coutet Barsac,Château Coutet Barsac,Barsac,Sémillon-Sauvignon Blanc,750,2,25,,
2018,Château Coutet Barsac,Château Coutet Barsac,Barsac,Sémillon-Sauvignon Blanc,750,,,, Brad & Erica Sklar: 4 stars  TG Matt Celeste Ben Mel Mike deep fragrant supple alcoholic rich 
2003,Château Guiraud,Château Guiraud,Sauternes,Sémillon-Sauvignon Blanc,375,1,22,,
2014,Château Suduiraut,Château Suduiraut,Sauternes,Sémillon-Sauvignon Blanc,375,2,35,,
2015,Bourgogne Blanc Domaine Leroy,Domaine Leroy,Bourgogne,Chardonnay,750,3,39.87,,
